[[2024-03-06 07:26:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -79 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:26:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:26:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -73 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:26:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -73 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:07]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -71 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -72 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -72 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -75 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:27:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -75 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:28:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:28:19]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -73 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:28:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:28:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:28:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:29:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -75 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:29:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -74 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:29:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -75 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
[[2024-03-06 07:29:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -73 dBm  , Bus050_MAC: b8:27:eb:6a:00:c1
