Log_Data            , WI-FI AP                                             , Signal Strength           , Raspberry Pi MAC
2023-07-22 00:17:36 ,   Not connected to Wi-Fi
2023-07-22 00:17:56 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -70 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
                                                                                                                                              
2023-07-22 00:18:17 ,  Not connected to Wi-Fi
2023-07-22 00:18:37 ,  Not connected to Wi-Fi
2023-07-22 00:18:57 ,  Not connected to Wi-Fi
2023-07-22 00:19:17 ,  Not connected to Wi-Fi
2023-07-22 00:19:37 ,  Not connected to Wi-Fi
2023-07-22 00:19:57 ,  Not connected to Wi-Fi
2023-07-22 00:20:17 ,  Not connected to Wi-Fi
2023-07-22 00:20:37 ,  Not connected to Wi-Fi
2023-07-22 00:20:57 ,  Not connected to Wi-Fi
2023-07-22 00:21:17 ,  Not connected to Wi-Fi
2023-07-22 00:21:37 ,  Not connected to Wi-Fi
2023-07-22 00:23:06 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:05   , Signal Strength: -65 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:35
2023-07-22 00:23:26 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -68 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:23:46 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -67 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:24:06 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -65 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:24:27 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -70 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:24:47 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -69 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:25:07 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -66 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:25:28 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -67 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
2023-07-22 00:28:26 ,  Connected to Wi-Fi AP with MAC: 70:0F:6A:0F:9B:04   , Signal Strength: -71 dBm  , Raspberry Pi MAC: b8:27:eb:cf:73:32
